~NAME~,~SEARCH TERM~,~STORAGE DRIVE LETTER~
Its Always Sunny in Philadelphia,its.always.sunny,G
Big Hero 6 The Series,Big.Hero.6,G
Gordon Ramsay's 24 Hours to Hell & Back,24.hours.to.hell,F
Penn and Teller Fool Us,penn.and.teller,F
Marvel's Cloak and Dagger,cloak.and.dagger,G
The Mentalist,mentalist,G
Blindspot,blindspot,G
Outlander,outlander,F
Alex Inc,alex.inc,F
BattleBots 2015,battlebots,G
Miraculous Ladybug,miraculous,G
Trust (2018),trust,F
The Terror (2018),the.terror,F
The Crossing (2018),the.crossing,F
Siren (2018),siren.2018,F
Deception (2018),deception,F
Krypton (2018),krypton,F
Babylon Berlin,babylon.berlin,F
The XFiles,the.x-files,F
Black Lightning,black.lightning,F
Knightfall,knightfall,F
Blue Planet II,blue.planet,F
Marvel's Runaways,marvels.runaways,F
Marvel's The Defenders,marvels.the.defenders,F
The Russell Howard Hour,the.russell.howard.hour,F
The Good Doctor,the.good.doctor,F
Marvel's The Punisher,punisher,F
Stranger Things,stranger.things,F
Hell's Kitchen,hells.kitchen,F
Zapped,zapped,F
Star Trek Discovery,star.trek.discovery,F
13 Reasons Why,13.reasons.why,F
A Series of Unfortunate Events,unfortunate,G
Adventure Time,adventure.time,G
American Dad,american.dad,G
American Gods,american.gods,G
Archer,archer,G
Arrow,arrow,G
Bill Nye Saves the World,bill.nye,F
Black Mirror,mirror,G
Black Sails,sails,G
Bobs Burgers,burgers,G
BoJack Horseman,horseman,G
Brooklyn Nine-Nine,brooklyn,G
Chicago Justice,chicago,F
DC's Legends of Tomorrow,legends,G
Doctor Who (2005),doctor,G
Doctor Who (2005),doctor_who_2005,G
Family Guy,family,G
Game of Thrones,thrones,G
Genius,genius,G
Gotham,gotham,F
Grimm,grimm,G
House of Cards,cards,G
James May The Reassembler,reassembler,G
Jeff & Some Aliens,some.aliens,F
Last Week Tonight with John Oliver,oliver,G
Legion,legion,G
Letterkenny,letterkenny,G
Lucifer,lucifer,G
Marvel's Agents of S.H.I.E.L.D.,agents,G
Marvel's Inhumans,inhumans,G
Marvel's Daredevil,daredevil,G
Marvel's Iron Fist,fist,G
Marvel's Luke Cage,luke,G
Master of None,master.of.none,F
Masterchef Australia,masterchef,G
Mr Robot,robot,G
Narcos,narcos,G
Orange is the New Black,orange,G
Planet Earth II,planet.earth,G
Rick and Morty,morty,G
Samurai Jack,samurai,G
Sherlock,sherlock,G
South Park,south,G
Steven Universe,universe,G
Supergirl,supergirl,G
Supernatural,supernatural,G
The 100,100,G
The Big Bang Theory,theory,G
The Flash (2014),lash,G
The Grand Tour,grand.tour,G
The Jim Jefferies Show,jefferies,F
Trial and Error,trial,F
Vikings,vikings,G
Westworld,westworld,G
