~NAME~,~SEARCH TERM~,~SEASON~,~EPISODE OFFSET~,~STORAGE DRIVE LETTER~
Baki (2018),baki,01,0,H
Shingeki no Kyojin,no kyojin,03,37,H
Emiya-san Chi no Kyou no Gohan,chi no kyou no gohan,01,0,H
Island,island,01,0,H
Shoujo Kageki Revue Starlight,shoujo kageki revue starlight,01,0,H
Yuragi-sou no Yuuna-san,yuragi-sou no yuuna-san,01,0,H
Grand Blue,grand blue,01,0,H
Happy Sugar Life,happy sugar life,01,0,H
Lord of Vermilion,lord of vermilion,01,0,H
Angolmois,angolmois,01,0,H
OverLord,overlord,03,0,H
Asobi Asobase,asobi asobase,01,0,H
Kyoto Teramachi Sanjou no Holmes,kyoto teramachi sanjou no holmes,01,0,H
Hyakuren no Haou to Seiyaku no Valkyria,hyakuren no haou to seiyaku no valkyria,01,0,H
Hataraku Saibou,hataraku saibou,01,0,H
Planet With,planet with,01,0,H
Chio-chan no Tsuugakuro,chan no tsuugakuro,01,0,H
Satsuriku no Tenshi,satsuriku no tenshi,01,0,H
Harukana Receive,harukana receive,01,0,H
Isekai Maou to Shoukan Shoujo no Dorei Majutsu,shoukan shoujo no dorei majutsu,01,0,H
Shichisei no Subaru,shichisei no subaru,01,0,H
Banana Fish,banana fish,01,0,H
Super Dragon Ball Heroes,super dragon ball heroes,01,0,H
Chuukan Kanriroku Tonegawa,chuukan kanriroku tonegawa,01,0,H
Yama no Susume,yama no susume,03,0,H
Hanebado!,hanebado,01,0,H
To Be Hero,to be heroine,02,0,H
Isekai Izakaya Koto Aitheria no Izakaya Nobu,koto aitheria no izakaya nobu,01,0,H
The Seven Deadly Sins,nanatsu no taizai,02,0,H
Uma Musume Pretty Derby,uma musume,01,0,H
Full Metal Panic!,full metal panic,04,0,H
Wotaku ni Koi wa Muzukashii,wotaku ni koi wa muzukashii,01,0,H
High School DxD,high school dxd,04,0,H
Steins Gate 0,steins gate 0,01,0,H
Golden Kamuy,golden kamuy,01,0,H
Fumikiri Jikan,fumikiri jikan,01,0,H
Cutie Honey Universe,cutie honey universe,01,0,H
Nil Admirari no Tenbin,nil admirari no tenbin,01,0,H
Caligula,caligula,01,0,H
Shokugeki no Soma,shokugeki,03,0,H
Amanchu!,amanchu,02,0,H
Persona 5 The Animation,persona 5,01,0,H
Sword Art Online Alternative Gun Gale Online,gun gale online,01,0,H
Omae wa Mada Gunma wo Shiranai,omae wa mada gunma wo shiranai,01,0,H
Lostorage Incited WIXOSS,lostorage,02,0,H
Devils Line,devils line,01,0,H
Spiritpact,spiritpact,02,0,H
Boku no Hero Academia,hero academia,03,38,H
Hinamatsuri,hinamatsuri,01,0,H
Akkun to Kanojo,akkun to kanojo,01,0,H
Magical Girl Site,mahou shoujo site,01,0,H
Tada kun wa Koi wo Shinai,wa koi wo shinai,01,0,H
Megalo Box,megalo box,01,0,H
Comic Girls,comic girls,01,0,H
Saredo Tsumibito wa Ryuu to Odoru,saredo tsumibito wa ryuu to odoru,01,0,H
Alice or Alice,alice or alice,01,0,H
Gundam Build Divers,gundam build divers,01,0,H
Legend of the Galactic Heroes Die Neue These,legend of the galactic heroes,01,0,H
3D Kanojo Real Girl,kanojo real girl,01,0,H
Tachibanakan To Lie Angle,tachibanakan to lie angle,01,0,H
Uchuu Senkan Tiramisu,uchuu senkan tiramisu,01,0,H
Mahou Shoujo Ore,mahou shoujo ore,01,0,H
Souten no Ken,souten no ken,02,0,H
Gegege no Kitarou (2018),gegege no kitarou,01,0,H
Tokyo Ghoul,tokyo ghoul,03,0,H
Zoku Touken Ranbu,zoku touken ranbu,02,0,H
Takunomi,takunomi,01,0,H
Darling in the FranXX,darling in the franxx,01,0,H
Dagashi Kashi,dagashi kashi,02,0,H
BeatLess,beatless,01,0,H
The Seven Deadly Sins,nanatsu no taizai imashime no nukkatsu,02,0,H
Killing Bites,killing bites,01,0,H
Ito Junji Collection,ito junji collection,01,0,H
Hakyuu Houshin Engi,hakyuu houshin engi,01,0,H
Hakumei to Mikochi,hakumei to mikochi,01,0,H
Hakata Tonkotsu Ramens,hakata tonkotsu ramens,01,0,H
Death March kara Hajimaru Isekai Kyousoukyoku,death march kara hajimaru isekai kyousoukyoku,01,0,H
Koi wa Ameagari no You ni,koi wa ameagari no you ni,01,0,H
Violet Evergarden,violet evergarden,01,0,H
Marchen Madchen,marchen madchen,01,0,H
Miira no Kaikata,miira no kaikata,01,0,H
Ryuuou no Oshigoto!,ryuuou no oshigoto,01,0,H
Karakai Jouzu no Takagi-san,karakai jouzu no takagi,01,0,H
Basilisk,ouka ninpouchou,02,0,H
Yowamushi Pedal,yowamushi pedal,04,0,H
Gakuen Babysitter,gakuen babysitter,01,0,H
Kokkoku,kokkoku,01,0,H
Mitsuboshi Colors,mitsuboshi colors,01,0,H
Grancrest Senki,grancrest senki,01,0,H
Toji no Miko,toji no miko,01,0,H
Pop Team Epic,pop team epic,01,0,H
Citrus,citrus,01,0,H
Slow Start,slow start,01,0,H
Ramen Daisuki Koizumi-san,ramen daisuki koizumi-san,01,0,H
Yuru Camp,yuru camp,01,0,H
Sora yori mo Tooi Basho,sora yori mo tooi basho,01,0,H
Dragon Ball Super,dragon ball super,06,131,H
Inuyashiki,inuyashiki,01,0,H
Boku no Kanojo ga Majimesugiru Sho-bitch na Ken,boku no kanojo ga majimesugiru,01,0,H
